code,name,gender,country_code,country,height,weight,disciplines,birth_date,residence_place,residence_country
1535310,BLANCO Luisa,Female,COL,Colombia,150,81,Artistic Gymnastics,18-11-2001,"TUSCALOOSA, AL",
1535343,WILLARS VALDEZ Randal,Male,MEX,Mexico,153,51,Diving,30-04-2002,MEXICO CITY,Mexico
1535345,BERLIN REYES Kevin,Male,MEX,Mexico,177,70,Diving,25-04-2001,MONTERREY,Mexico
1535346,OROZCO LOZA Alejandra,Female,MEX,Mexico,155,79,Diving,19-04-1997,GUADALAJARA,Mexico
1535348,AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,174,84,Diving,04-08-2000,,Mexico
1535349,OLVERA IBARRA Osmar,Male,MEX,Mexico,188,85,Diving,05-06-2004,,
1535350,GARZA PEREZ Eugenio,Male,MEX,Mexico,152,62,Equestrian,23-07-1996,"WELLINGTON, FL",United States
1535351,FERNANDEZ Federico,Male,MEX,Mexico,166,76,Equestrian,28-03-1968,MEXICO CITY,Mexico
1535354,de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,164,85,Swimming,09-08-1994,"BLACKSBURG, VA",United States
1535356,MORENO Alexa,Female,MEX,Mexico,166,51,Artistic Gymnastics,08-08-1994,TIJUANA,Mexico
1535357,SANDOVAL Ahtziri,Female,MEX,Mexico,185,69,Artistic Gymnastics,05-10-1996,GUADALAJARA,Mexico
1535358,FLORES Sofia,Female,MEX,Mexico,178,54,Rhythmic Gymnastics,20-12-2004,,Mexico
1535359,SALAZAR Kimberly,Female,MEX,Mexico,152,83,Rhythmic Gymnastics,24-04-2004,,Mexico
1535360,TEJEDA Adirem,Female,MEX,Mexico,190,74,Rhythmic Gymnastics,21-06-2002,,
1535361,ALCOCER Dalia,Female,MEX,Mexico,171,82,Rhythmic Gymnastics,02-01-2004,,Mexico
1535362,GUTIERREZ Julia,Female,MEX,Mexico,171,61,Rhythmic Gymnastics,13-09-2007,,Mexico
1535363,HERNANDEZ Emiliano,Male,MEX,Mexico,152,65,Modern Pentathlon,27-01-1998,MEXICO CITY,Mexico
1535364,CARRILLO Duilio,Male,MEX,Mexico,150,80,Modern Pentathlon,24-03-1997,MEXICO CITY,Mexico
1535365,OLIVER Mayan,Female,MEX,Mexico,155,64,Modern Pentathlon,11-07-1993,CUAUTITLAN IZCALLI,Mexico
1535366,SANSORES Carlos,Male,MEX,Mexico,178,83,Taekwondo,25-06-1997,CANCUN,Mexico
1535367,SOUZA Daniela Paola,Female,MEX,Mexico,168,84,Taekwondo,27-08-1999,TIJUANA,Mexico
1535368,CLELAND QUINONEZ Alan,Male,MEX,Mexico,155,72,Surfing,19-06-2002,AVECES,Mexico
1535373,GRIGORIAN Aram,Male,UAE,UA Emirates,175,68,Judo,09-06-1998,MOSCOW,Russian Federation
1535374,KOSTOEV Dzhafar,Male,UAE,UA Emirates,181,59,Judo,28-04-1999,ABU DHABI,UA Emirates
1535375,MAGOMEDOMAROV Magomedomar,Male,UAE,UA Emirates,176,74,Judo,10-04-2001,,UA Emirates
1535376,TATALASHVILI Nugzari,Male,UAE,UA Emirates,185,85,Judo,20-03-1990,GORI,Georgia
1535383,BISHRELT Khorloodoi,Female,UAE,UA Emirates,162,75,Judo,29-05-1998,ULAANBAATAR,Mongolia
1535385,HOUSSEIN Alexandre,Male,DJI,Djibouti,174,77,Judo,28-03-1998,PARIS,France
1535395,AL SAYEGH Safia,Female,UAE,UA Emirates,156,77,Cycling Road,23-09-2001,,
1535420,VALENCIA Alejandra,Female,MEX,Mexico,171,55,Archery,17-10-1994,HERMOSILLO,Mexico
1535429,RUIZ Angela,Female,MEX,Mexico,187,60,Archery,28-07-2006,MEXICO CITY,Mexico
1535430,GRANDE Matias,Male,MEX,Mexico,189,76,Archery,26-04-2004,MEXICO CITY,Mexico
1535433,PRIETO Marcela,Female,MEX,Mexico,159,73,Cycling Road,11-03-1992,,
1535438,RAMIREZ RAMOS Edson Ismael,Male,MEX,Mexico,181,60,Shooting,10-07-2000,SALTILLO,Mexico
1535439,RODRIGUEZ Gabriela,Female,MEX,Mexico,175,82,Shooting,12-12-1996,SALTILLO,Mexico
1535440,ZAVALA VAZQUEZ Alejandra,Female,MEX,Mexico,185,81,Shooting,16-06-1984,LEON,Mexico
1535441,QUEZADA MARQUEZ Carlos,Male,MEX,Mexico,165,82,Shooting,21-10-1999,GUADALAJARA,Mexico
1535442,PENAFLOR MOYSEN Aram Michell,Male,MEX,Mexico,174,80,Triathlon,11-03-1999,GUADALAJARA,Mexico
1535444,REINOSO Sofia,Female,MEX,Mexico,168,62,Canoe Slalom,23-10-1996,TLAPACOYAN,Mexico
1535448,BRIONES FRAGOZA Beatriz,Female,MEX,Mexico,172,69,Canoe Sprint,10-02-1999,SULTANA DEL NORTE,Mexico
1535449,ALANIS MORALES Karina,Female,MEX,Mexico,161,68,Canoe Sprint,09-12-1993,,
1535505,LINARES Natalia,Female,COL,Colombia,151,82,Athletics,03-01-2003,SANTA MARTA,Colombia
1535506,LONGA Ronal,Male,COL,Colombia,150,61,Athletics,30-06-2004,BOGOTA,Colombia
1535511,RUIZ HURTADO Flor Denis,Female,COL,Colombia,160,79,Athletics,29-01-1991,PALMIRA,Colombia
1535512,ORJUELA Angie,Female,COL,Colombia,165,71,Athletics,09-05-1989,BOGOTA,Colombia
1535513,RENTERIA RENTERIA Tatiana,Female,COL,Colombia,179,75,Wrestling,22-12-2000,VALLE DEL CAUCA,Colombia
1535514,VALDES PANA Angie Paola,Female,COL,Colombia,182,84,Boxing,14-07-2000,BARRANQUILLA,Colombia
1535522,ARBOLEDA MENDOZA Valeria,Female,COL,Colombia,166,59,Boxing,13-04-2002,,Colombia
1535524,BOLANOS LOPEZ Victor,Male,COL,Colombia,154,66,Sailing,19-09-1994,SANTIAGO DE CALI,Colombia
1535609,ABDOLI Samyar,Male,IRI,IR Iran,175,57,Swimming,25-12-2002,,
1535660,SIMWAKA Asimenye,Female,MAW,Malawi,185,51,Athletics,08-08-1997,,Malawi
1535693,AL MARZOOQI Omar Abdul Aziz,Male,UAE,UA Emirates,183,81,Equestrian,28-03-2003,ABU DHABI,UA Emirates
1535729,SERRANO Franco,Male,ARG,Argentina,188,73,Modern Pentathlon,22-11-2000,BUENOS AIRES,Argentina
1535766,KUMEL SAADI,Male,IRQ,Iraq,181,65,Football,19-08-2004,,Iraq
1535776,JOSEF AL IMAM,Male,IRQ,Iraq,162,85,Football,27-07-2004,,Sweden
1535804,MUNTADHER ABDULAMEER,Male,IRQ,Iraq,165,67,Football,06-10-2001,,Iraq
1535805,MUNTADHER MOHAMMED,Male,IRQ,Iraq,187,70,Football,05-06-2001,,IR Iran
1535852,MAEDER Maximilian,Male,SGP,Singapore,162,61,Sailing,12-09-2006,,
1535853,LO Ryan,Male,SGP,Singapore,166,76,Sailing,26-02-1997,,Singapore
1535854,SIM En Yi Letitia,Female,SGP,Singapore,188,65,Swimming,03-03-2003,SINGAPORE,Singapore
1535856,TAN Jonathan Eu Jin,Male,SGP,Singapore,176,71,Swimming,11-03-2002,"STANFORD, CA",United States
1535858,PEREIRA Veronica Shanti,Female,SGP,Singapore,152,69,Athletics,20-09-1996,SINGAPORE,Singapore
1535910,ZAID TAHSEEN,Male,IRQ,Iraq,155,68,Football,29-01-2001,,Iraq
1535913,HUSSEIN AMER,Male,IRQ,Iraq,161,54,Football,28-04-2002,,
1535914,ANAK LISES Bertrand Rhodict,Male,MAS,Malaysia,155,80,Diving,28-05-2005,KUALA LUMPUR,Malaysia
1535916,HUSSEIN LAWEND,Male,IRQ,Iraq,184,75,Football,20-01-2001,,Iraq
1535918,WONG Guanjie Johnathan,Male,MAS,Malaysia,162,69,Shooting,23-08-1992,KUALA LUMPUR,Malaysia
1535925,MOHAMAD ZUBIR Nur Aisyah,Female,MAS,Malaysia,158,65,Cycling Road,04-10-1997,KUALA TERENGGANU,Malaysia
1535926,MOHAMAD LATIF Nur Shazrin,Female,MAS,Malaysia,168,54,Sailing,02-02-1998,LANGKAWI,Malaysia
1535927,ALI JASIM,Male,IRQ,Iraq,186,68,Football,20-01-2004,,Iraq
1535928,KARRAR SAAD,Male,IRQ,Iraq,170,67,Football,22-03-2001,,Iraq
1535929,KARRAR MOHAMMED,Male,IRQ,Iraq,183,75,Football,06-01-2001,,Iraq
1535930,NIHAD MOHAMMED,Male,IRQ,Iraq,160,76,Football,14-01-2001,,Iraq
1535959,DOUA Camil,Male,MTN,Mauritania,172,57,Swimming,23-02-2002,,France
1535993,CHEW Caroline,Female,SGP,Singapore,179,69,Equestrian,18-04-1992,LONDON,Great Britain
1536032,HERNANDEZ FLORES Margarita,Female,MEX,Mexico,186,65,Athletics,03-12-1985,TOLUCA,Mexico
1536045,SALIMI Arian,Male,IRI,IR Iran,165,64,Taekwondo,16-12-2003,,IR Iran
1536058,BARKHORDARI Mehran,Male,IRI,IR Iran,158,67,Taekwondo,26-07-2000,,IR Iran
1536064,NEMATZADEH Mobina,Female,IRI,IR Iran,152,68,Taekwondo,17-05-2005,,IR Iran
1536067,KIYANICHANDEH Nahid,Female,IRI,IR Iran,157,54,Taekwondo,01-08-1998,,IR Iran
1536157,MPALI Adam,Male,GAB,Gabon,157,85,Swimming,29-05-2002,,
1536175,AMISON Naima-Zahra,Female,DJI,Djibouti,162,76,Swimming,10-10-2003,,
1536184,STREHLKE DELGADO Paulo,Male,MEX,Mexico,178,79,Marathon Swimming,10-01-2006,,
1536190,SANDOVAL AYALA Martha,Female,MEX,Mexico,164,64,Marathon Swimming,14-08-1998,BAJA CALIFORNIA,Mexico
1536196,ESTUDILLO TORRES Alejandra,Female,MEX,Mexico,187,69,Diving,20-05-2005,,
1536197,CELAYA HERNANDEZ Juan Manuel,Male,MEX,Mexico,183,66,Diving,01-09-1998,,
1536198,VAZQUEZ MONTANO Aranza,Female,MEX,Mexico,157,71,Diving,21-08-2002,,
1536207,ALIPOUR SHENAZANDIFARD Reza,Male,IRI,IR Iran,165,53,Sport Climbing,29-04-1994,,
1536214,ALAMIAN Nima,Male,IRI,IR Iran,158,61,Table Tennis,24-12-1992,,
1536215,ALAMIYAN Noshad,Male,IRI,IR Iran,178,83,Table Tennis,21-11-1991,,
1536233,YASEEN Taha Hussein,Male,IRQ,Iraq,187,61,Athletics,01-01-1998,,
1536251,MAAN Tulika,Female,IND,India,166,75,Judo,09-09-1998,NEW DELHI,India
1536341,ANCER Abraham,Male,MEX,Mexico,155,53,Golf,27-02-1991,,
1536368,SHARMA Shubhankar,Male,IND,India,168,78,Golf,21-07-1996,,
1536371,BHULLAR Gaganjeet,Male,IND,India,182,66,Golf,27-04-1988,,India
1536372,GIRMA Ermias,Male,ETH,Ethiopia,154,71,Athletics,20-01-2005,ADDIS ABABA,Ethiopia
1536460,ROJAS Carlos,Male,MEX,Mexico,158,82,Archery,14-01-2000,,
1536467,MARTINEZ WING Bruno,Male,MEX,Mexico,183,61,Archery,08-03-1998,SALTILLO,Mexico
1536479,VAZQUEZ Ana,Female,MEX,Mexico,162,78,Archery,05-10-2000,MONCLOVA,Mexico
1536494,RIVERA Edgar,Male,MEX,Mexico,170,64,Athletics,13-02-1991,ZURICH,Switzerland
1536495,TAMAYO-GARZA Cecilia,Female,MEX,Mexico,161,59,Athletics,04-03-1997,"HOUSTON, TX",United States
1536496,ALEMU Habitam,Female,ETH,Ethiopia,160,82,Athletics,09-07-1997,ADDIS ABABA,Ethiopia
1536497,MESELE Worknesh,Female,ETH,Ethiopia,172,60,Athletics,11-06-2001,ADDIS ABABA,Ethiopia
1536498,DUGUMA Tsige,Female,ETH,Ethiopia,188,73,Athletics,23-02-2001,ADDIS ABABA,Ethiopia
1536522,ASHOK Aditi,Female,IND,India,167,70,Golf,29-03-1998,BENGALURU,India
1536523,DAGAR Diksha,Female,IND,India,164,70,Golf,14-12-2000,DELHI,India
1536568,FAYISA Abdisa,Male,ETH,Ethiopia,177,62,Athletics,24-04-2005,"SULULTA, OROMIA REGION",Ethiopia
1536585,GUERRERO Ilse,Female,MEX,Mexico,151,80,Athletics,24-03-1993,ZACATECAS,Mexico
1536599,CHAMA Noel,Male,MEX,Mexico,157,70,Athletics,15-09-1997,MEXICO CITY,Mexico
1536600,ORTIZ Ricardo,Male,MEX,Mexico,160,80,Athletics,07-02-1995,MEXICO CITY,Mexico
1536624,SHAHSAVARI Neda,Female,IRI,IR Iran,153,69,Table Tennis,21-09-1986,,
1536632,FALLAH Mobina,Female,IRI,IR Iran,151,50,Archery,13-08-1999,,
1536648,LOH Kean Yew,Male,SGP,Singapore,162,58,Badminton,26-06-1997,,Singapore
1536649,HEE Yong Kai Terry,Male,SGP,Singapore,188,80,Badminton,06-07-1995,,
1536650,TAN Wei Han Jessica,Female,SGP,Singapore,170,68,Badminton,16-07-1993,,Singapore
1536651,YEO Jia Min,Female,SGP,Singapore,157,76,Badminton,01-02-1999,,Singapore
1536669,LABIB Ali,Male,IRI,IR Iran,189,68,Cycling Road,21-09-2002,,
1536683,FASIHI Farzaneh,Female,IRI,IR Iran,183,56,Athletics,03-01-1993,TEHERAN,IR Iran
1536701,TAFTIAN Hassan,Male,IRI,IR Iran,184,79,Athletics,04-05-1993,,
1536721,PANWAR Balraj,Male,IND,India,181,73,Rowing,26-07-1999,,
1536885,RICKETTS Shanieka,Female,JAM,Jamaica,188,57,Athletics,02-02-1992,KINGSTON,Jamaica
1536925,HARRIS Naquille,Male,SKN,St Kitts and Nevis,159,66,Athletics,16-05-2002,,United States
1536961,DAVOUDI Ali,Male,IRI,IR Iran,167,84,Weightlifting,22-03-1999,TEHRAN,IR Iran
1536971,JAVADI ALIABADI Mir Mostafa,Male,IRI,IR Iran,172,60,Weightlifting,22-06-2000,,
1536983,WELTEJI Diribe,Female,ETH,Ethiopia,185,84,Athletics,13-05-2002,LEGETAFO,Ethiopia
1536990,HAYLOM Birke,Female,ETH,Ethiopia,159,72,Athletics,06-01-2006,ADDIS ABABA,Ethiopia
1536992,HAILU Freweyni,Female,ETH,Ethiopia,156,51,Athletics,12-02-2001,ADDIS ABABA,Ethiopia
1536996,AGHAMIRZAEIJENAGHARD Ali,Male,IRI,IR Iran,161,65,Canoe Sprint,04-03-1993,BANDAR-E ANZALI,IR Iran
1536997,MAYALA Freddy,Male,CGO,Congo,177,79,Swimming,18-06-2000,,
1536998,AREGAWI Berihu,Male,ETH,Ethiopia,169,53,Athletics,28-02-2001,ADDIS ABABA,Ethiopia
1536999,KEJELCHA Yomif,Male,ETH,Ethiopia,157,74,Athletics,01-08-1997,LEGETAFO,Ethiopia
1537001,GEBRHIWET Hagos,Male,ETH,Ethiopia,163,70,Athletics,11-05-1994,ADDIS ABABA,Ethiopia
1537002,BOBIMBO Vanessa,Female,CGO,Congo,162,64,Swimming,08-12-1999,,
1537010,NGOYE Natacha,Female,CGO,Congo,171,82,Athletics,15-08-1993,,France
1537012,SAIKHOM Mirabai Chanu,Female,IND,India,178,71,Weightlifting,08-08-1994,MANIPUR,India
1537049,BAREGA Selemon,Male,ETH,Ethiopia,187,75,Athletics,20-01-2000,ADDIS ABABA,Ethiopia
1537052,TEFERA Samuel,Male,ETH,Ethiopia,158,77,Athletics,23-10-1999,BURAYU,Ethiopia
1537053,YIHUNE Addisu,Male,ETH,Ethiopia,154,62,Athletics,17-03-2003,ADDIS ABABA,Ethiopia
1537057,MEHARY Biniam,Male,ETH,Ethiopia,159,78,Athletics,20-12-2006,ADDIS ABABA,Ethiopia
1537066,TAYE Ejgayehu,Female,ETH,Ethiopia,158,85,Athletics,10-02-2000,,Ethiopia
1537069,EISA Medina,Female,ETH,Ethiopia,151,84,Athletics,03-01-2005,ADDIS ABABA,Ethiopia
1537079,GEBRESELAMA Tsigie,Female,ETH,Ethiopia,188,53,Athletics,30-09-2000,ADDIS ABABA,Ethiopia
1537135,ZENG Jian,Female,SGP,Singapore,154,61,Table Tennis,19-11-1996,,
1537137,QUEK Izaac,Male,SGP,Singapore,150,50,Table Tennis,26-05-2006,,
1537144,VEGA Jerome,Male,PUR,Puerto Rico,153,73,Athletics,07-04-1995,LUQUILLO,Puerto Rico
1537145,OWENS-DELERME Ayden,Male,PUR,Puerto Rico,172,68,Athletics,28-05-2000,SAN GERMAN,Puerto Rico
1537149,de ORBETA Rachelle,Female,PUR,Puerto Rico,164,52,Athletics,27-03-2000,BOGOTA,Colombia
1537150,SCOTT Gabby,Female,PUR,Puerto Rico,176,83,Athletics,13-01-1997,"ORLANDO, FL",United States
1537163,D'AMOUR Nicholas,Male,ISV,"Virgin Islands, US",160,78,Archery,04-09-2001,CHARLOTTE AMALIE,"Virgin Islands, US"
1537168,CASTRO RIVERA Luis,Male,PUR,Puerto Rico,188,56,Athletics,29-01-1991,SAN JUAN,Puerto Rico
1537180,CEBALLOS Macarena,Female,ARG,Argentina,185,65,Swimming,12-01-1995,BUENOS AIRES,Argentina
1537183,CAMACHO-QUINN Jasmine,Female,PUR,Puerto Rico,168,57,Athletics,21-08-1996,"ORLANDO, FL",United States
1537185,CHEVRIER Luc,Male,LCA,Saint Lucia,159,63,Sailing,30-06-1999,,Saint Lucia
1537187,FERNANDEZ GAMBOA Pedro Luis,Male,PUR,Puerto Rico,168,68,Sailing,12-06-1997,,Puerto Rico
1537188,RIVERA Sebastian C,Male,PUR,Puerto Rico,155,50,Wrestling,27-08-1998,"NEW BRUNSWICK, NJ",United States
1537189,LOZADA MOTTA Ashleyann,Female,PUR,Puerto Rico,160,85,Boxing,19-07-1991,SAN JUAN,Puerto Rico
1537191,PULIDO ORTIZ Celia,Female,MEX,Mexico,189,54,Swimming,01-01-2003,"CARBONDALE, IL",United States
1537203,HYDE Jaheel,Male,JAM,Jamaica,155,64,Athletics,02-02-1997,KINGSTON,Jamaica
1537204,IGA Jorge,Male,MEX,Mexico,159,65,Swimming,12-01-1997,,
1537209,HEIN Agostina,Female,ARG,Argentina,170,65,Swimming,24-04-2008,ZARATE,Argentina
1537256,SASSER Mathlynn,Female,MHL,Marshall Islands,169,77,Weightlifting,25-12-1996,"KANSAS CITY, MO",United States
1537272,HEPLER Kayla,Female,MHL,Marshall Islands,176,66,Swimming,22-03-2002,,
1537273,KINONO Philli,Male,MHL,Marshall Islands,174,52,Swimming,10-12-1997,,United States
1537276,GARRIDO Luis Ramon,Male,MEX,Mexico,177,53,Badminton,10-05-1996,MONTERREY,Mexico
1537286,MARTINEZ Paulina,Female,MEX,Mexico,159,55,Judo,10-04-1999,,Mexico
1537287,AWITI ALCARAZ Prisca,Female,MEX,Mexico,168,79,Judo,20-02-1996,LONDON,Great Britain
1537312,REZAEI Mohammad Nabi,Male,IRI,IR Iran,182,83,Canoe Sprint,10-04-1999,,
1537323,MUSTAFA SAADOON,Male,IRQ,Iraq,188,83,Football,25-05-2001,,Iraq
1537325,ALFRED Julien,Female,LCA,Saint Lucia,183,64,Athletics,10-06-2001,"AUSTIN, TX",United States
1537331,JOSEPH Michael,Male,LCA,Saint Lucia,160,68,Athletics,01-11-2002,"LAWRENCE, KS",United States
1537336,YOUSSEF AMYN,Male,IRQ,Iraq,165,83,Football,21-08-2003,,Germany
1537345,TSEGAY Gudaf,Female,ETH,Ethiopia,162,53,Athletics,23-01-1997,ADDIS ABABA,Ethiopia
1537349,ALSADEQ Julyana,Female,JOR,Jordan,169,78,Taekwondo,09-12-1994,AMMAN,Jordan
1537368,TESFAY Fotyen,Female,ETH,Ethiopia,172,66,Athletics,17-02-1998,ADDIS ABABA,Ethiopia
1537375,MOJALLALTOPRAGHGHALE Fatemeh,Female,IRI,IR Iran,155,84,Rowing,27-07-2002,,
1537376,ELSHARABATY Saleh,Male,JOR,Jordan,167,81,Taekwondo,12-09-1998,AMMAN,Jordan
1537377,AL KHATRI Said,Male,OMA,Oman,177,83,Shooting,11-07-1985,BAHLA,Oman
1537394,AL ADAWI Issa Samir Hamed,Male,OMA,Oman,156,69,Swimming,20-03-1999,,Japan
1537401,KAREEM Zaid,Male,JOR,Jordan,185,53,Taekwondo,19-06-2001,AMMAN,Jordan
1537402,SARAVANAN Vishnu,Male,IND,India,163,76,Sailing,24-02-1999,MUMBAI,India
1537405,KUMANAN Nethra,Female,IND,India,150,83,Sailing,21-08-1997,CHENNAI,India
1537465,SARAVIA Ulises,Male,ARG,Argentina,178,80,Swimming,27-10-2005,CASTELLON,Spain
1537510,BORELLI Florencia,Female,ARG,Argentina,166,77,Athletics,30-10-1992,MAR DEL PLATA,Argentina
1537518,CASETTA Belen,Female,ARG,Argentina,176,68,Athletics,26-09-1994,PILAR,Argentina
1537531,GOMEZ Joaquin,Male,ARG,Argentina,155,74,Athletics,14-10-1996,,Argentina
1537538,LARREGINA Elian,Male,ARG,Argentina,185,53,Athletics,20-02-2000,BUENOS AIRES,Argentina
1537547,SASIA Nazareno,Male,ARG,Argentina,155,76,Athletics,05-01-2001,PARANA,Argentina
1537549,GADAYI Edwin Kwabla,Male,GHA,Ghana,162,85,Athletics,14-02-2001,,
1537579,ODLUM-SMITH Jayhan Jamaud,Male,LCA,Saint Lucia,172,84,Swimming,11-01-2002,ANTIBES,France
1537661,ABUZRIBA Ahmed,Male,LBA,Libya,171,77,Weightlifting,16-04-2000,,
1537667,BUKRAH Mohamed,Male,LBA,Libya,179,71,Rowing,06-07-2003,,
1537686,BOUDINA Sid Ali,Male,ALG,Algeria,187,51,Rowing,07-05-1990,NANTES,France
1537927,GIL Federico,Male,ARG,Argentina,167,80,Shooting,29-04-1988,ARRECIFES,Argentina
1537929,GUTIERREZ Marcelo Julian,Male,ARG,Argentina,156,56,Shooting,31-08-2000,CATAMARCA,Argentina
1537932,RUSSO Fernanda,Female,ARG,Argentina,153,50,Shooting,02-10-1999,LA RIOJA,Argentina
1538007,CROOKS Jordan,Male,CAY,Cayman Islands,177,56,Swimming,02-05-2002,"KNOXVILLE, TN",United States
1538028,BOSCO Eugenia,Female,ARG,Argentina,151,80,Sailing,12-06-1997,SAN PEDRO,Argentina
1538040,FERRETTI Chiara,Female,ARG,Argentina,185,62,Sailing,16-03-2007,CODORBA,Argentina
1538041,MAJDALANI Mateo,Male,ARG,Argentina,168,72,Sailing,15-07-1994,BUENOS AIRES,Argentina
