medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Bronze Medal,3,VIERU Denis,Male,Republic of Moldova,Judo,Men -66 kg,1561138
Gold Medal,1,KELDIYOROVA Diyora,Female,Uzbekistan,Judo,Women -52 kg,1566997
Silver Medal,2,KRASNIQI Distria,Female,Kosovo,Judo,Women -52 kg,1550162
Bronze Medal,3,PIMENTA Larissa,Female,Brazil,Judo,Women -52 kg,1953817
Bronze Medal,3,BUCHARD Amandine,Female,France,Judo,Women -52 kg,1891283
Gold Medal,1,XIE Yu,Male,China,Shooting,10m Air Pistol Men,1913907
Silver Medal,2,MALDINI Federico Nilo,Male,Italy,Shooting,10m Air Pistol Men,1551388
Bronze Medal,3,MONNA Paolo,Male,Italy,Shooting,10m Air Pistol Men,1551387
Gold Medal,1,OH Ye Jin,Female,Korea,Shooting,10m Air Pistol Women,1893972
Silver Medal,2,KIM Yeji,Female,Korea,Shooting,10m Air Pistol Women,1893930
Bronze Medal,3,BHAKER Manu,Female,India,Shooting,10m Air Pistol Women,1538159
Gold Medal,1,YOSHIZAWA Coco,Female,Japan,Skateboarding,Women's Street,1902055
Silver Medal,2,AKAMA Liz,Female,Japan,Skateboarding,Women's Street,1902069
Bronze Medal,3,LEAL Rayssa,Female,Brazil,Skateboarding,Women's Street,1955689
Gold Medal,1,MARTINENGHI Nicolo,Male,Italy,Swimming,Men's 100m Breaststroke,1925633
Silver Medal,2,PEATY Adam,Male,Great Britain,Swimming,Men's 100m Breaststroke,1956469
Silver Medal,2,FINK Nic,Male,United States,Swimming,Men's 100m Breaststroke,1935901
Gold Medal,1,MARCHAND Leon,Male,France,Swimming,Men's 400m Individual Medley,1909294
Silver Medal,2,MATSUSHITA Tomoyuki,Male,Japan,Swimming,Men's 400m Individual Medley,1963635
Bronze Medal,3,FOSTER Carson,Male,United States,Swimming,Men's 400m Individual Medley,1935903
Gold Medal,1,HUSKE Torri,Female,United States,Swimming,Women's 100m Butterfly,1935923
Silver Medal,2,WALSH Gretchen,Female,United States,Swimming,Women's 100m Butterfly,1935998
Bronze Medal,3,ZHANG Yufei,Female,China,Swimming,Women's 100m Butterfly,1945125
Gold Medal,1,GESTIN Nicolas,Male,France,Canoe Slalom,Men's Canoe Single,1880479
Silver Medal,2,BURGESS Adam,Male,Great Britain,Canoe Slalom,Men's Canoe Single,1896030
Bronze Medal,3,BENUS Matej,Male,Slovakia,Canoe Slalom,Men's Canoe Single,1961080
Gold Medal,1,PIDCOCK Thomas,Male,Great Britain,Cycling Mountain Bike,Men's Cross-country,1912546
Silver Medal,2,KORETZKY Victor,Male,France,Cycling Mountain Bike,Men's Cross-country,1895687
Bronze Medal,3,HATHERLY Alan,Male,South Africa,Cycling Mountain Bike,Men's Cross-country,1943604
Gold Medal,1,JUNG Michael,Male,Germany,Equestrian,Eventing Individual,1914921
Silver Medal,2,BURTON Christopher,Male,Australia,Equestrian,Eventing Individual,1940438
Bronze Medal,3,COLLETT Laura,Female,Great Britain,Equestrian,Eventing Individual,1970898
Gold Medal,1,CHEUNG Ka Long,Male,"Hong Kong, China",Fencing,Men's Foil Individual,1963245
Silver Medal,2,MACCHI Filippo,Male,Italy,Fencing,Men's Foil Individual,1924289
Bronze Medal,3,ITKIN Nick,Male,United States,Fencing,Men's Foil Individual,1950602
Gold Medal,1,APITHY-BRUNET Manon,Female,France,Fencing,Women's Sabre Individual,1916223
Silver Medal,2,BALZER Sara,Female,France,Fencing,Women's Sabre Individual,1916222
Bronze Medal,3,KHARLAN Olga,Female,Ukraine,Fencing,Women's Sabre Individual,1897644
Gold Medal,1,HEYDAROV Hidayat,Male,Azerbaijan,Judo,Men -73 kg,1972337
Silver Medal,2,GABA Joan-Benjamin,Male,France,Judo,Men -73 kg,1891311
Bronze Medal,3,OSMANOV Adil,Male,Republic of Moldova,Judo,Men -73 kg,1563437
Bronze Medal,3,HASHIMOTO Soichi,Male,Japan,Judo,Men -73 kg,1896740
Gold Medal,1,DEGUCHI Christa,Female,Canada,Judo,Women -57 kg,1955526
Silver Medal,2,HUH Mimi,Female,Korea,Judo,Women -57 kg,1928067
Bronze Medal,3,FUNAKUBO Haruka,Female,Japan,Judo,Women -57 kg,1896733
Bronze Medal,3,CYSIQUE Sarah Leonie,Female,France,Judo,Women -57 kg,1891286
Gold Medal,1,SHENG Lihao,Male,China,Shooting,10m Air Rifle Men,1913899
Silver Medal,2,LINDGREN Victor,Male,Sweden,Shooting,10m Air Rifle Men,1572919
Bronze Medal,3,MARICIC Miran,Male,Croatia,Shooting,10m Air Rifle Men,1888047
Gold Medal,1,BAN Hyojin,Female,Korea,Shooting,10m Air Rifle Women,1893845
Silver Medal,2,HUANG Yuting,Female,China,Shooting,10m Air Rifle Women,1913945
Bronze Medal,3,GOGNIAT Audrey,Female,Switzerland,Shooting,10m Air Rifle Women,1976545
Gold Medal,1,HORIGOME Yuto,Male,Japan,Skateboarding,Men's Street,1902081
Silver Medal,2,EATON Jagger,Male,United States,Skateboarding,Men's Street,1944226
Bronze Medal,3,HUSTON Nyjah,Male,United States,Skateboarding,Men's Street,1944232
Gold Medal,1,CECCON Thomas,Male,Italy,Swimming,Men's 100m Backstroke,1925635
Silver Medal,2,XU Jiayu,Male,China,Swimming,Men's 100m Backstroke,1945132
Bronze Medal,3,MURPHY Ryan,Male,United States,Swimming,Men's 100m Backstroke,1935957
Gold Medal,1,POPOVICI David,Male,Romania,Swimming,Men's 200m Freestyle,1543549
Silver Medal,2,RICHARDS Matthew,Male,Great Britain,Swimming,Men's 200m Freestyle,1903617
Bronze Medal,3,HOBSON Luke,Male,United States,Swimming,Men's 200m Freestyle,1935918
Gold Medal,1,SMITH Tatjana,Female,South Africa,Swimming,Women's 100m Breaststroke,1962589
Silver Medal,2,TANG Qianting,Female,China,Swimming,Women's 100m Breaststroke,1945200
Bronze Medal,3,Mc SHARRY Mona,Female,Ireland,Swimming,Women's 100m Breaststroke,1543304
Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia,Swimming,Women's 200m Freestyle,1946218
Silver Medal,2,TITMUS Ariarne,Female,Australia,Swimming,Women's 200m Freestyle,1946150
Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China",Swimming,Women's 200m Freestyle,1925125
Gold Medal,1,McINTOSH Summer,Female,Canada,Swimming,Women's 400m Individual Medley,1967140
Silver Medal,2,GRIMES Katie,Female,United States,Swimming,Women's 400m Individual Medley,1935909
Bronze Medal,3,WEYANT Emma,Female,United States,Swimming,Women's 400m Individual Medley,1936001
Gold Medal,1,NAGASE Takanori,Male,Japan,Judo,Men -81 kg,1896765
Silver Medal,2,GRIGALASHVILI Tato,Male,Georgia,Judo,Men -81 kg,1546651
Bronze Medal,3,LEE Joonhwan,Male,Korea,Judo,Men -81 kg,1928079
Bronze Medal,3,MAKHMADBEKOV Somon,Male,Tajikistan,Judo,Men -81 kg,1570561
Gold Medal,1,LESKI Andreja,Female,Slovenia,Judo,Women -63 kg,1980833
Silver Medal,2,AWITI ALCARAZ Prisca,Female,Mexico,Judo,Women -63 kg,1537287
Bronze Medal,3,AGBEGNENOU Clarisse,Female,France,Judo,Women -63 kg,1891289
Bronze Medal,3,FAZLIU Laura,Female,Kosovo,Judo,Women -63 kg,1550167
Gold Medal,1,HALES Nathan,Male,Great Britain,Shooting,Trap Men,1904430
Silver Medal,2,QI Ying,Male,China,Shooting,Trap Men,1913928
Bronze Medal,3,BROL CARDENAS Jean Pierre,Male,Guatemala,Shooting,Trap Men,1958970
Gold Medal,1,WIFFEN Daniel,Male,Ireland,Swimming,Men's 800m Freestyle,1539969
Silver Medal,2,FINKE Bobby,Male,United States,Swimming,Men's 800m Freestyle,1935902
Bronze Medal,3,PALTRINIERI Gregorio,Male,Italy,Swimming,Men's 800m Freestyle,1925630
Gold Medal,1,McKEOWN Kaylee,Female,Australia,Swimming,Women's 100m Backstroke,1946198
Silver Medal,2,SMITH Regan,Female,United States,Swimming,Women's 100m Backstroke,1935984
Bronze Medal,3,BERKOFF Katharine,Female,United States,Swimming,Women's 100m Backstroke,1935873
Gold Medal,1,OKA Shinnosuke,Male,Japan,Artistic Gymnastics,Men's All-Around,1919480
Silver Medal,2,ZHANG Boheng,Male,China,Artistic Gymnastics,Men's All-Around,1918864
Bronze Medal,3,XIAO Ruoteng,Male,China,Artistic Gymnastics,Men's All-Around,1918860
Gold Medal,1,FOX Jessica,Female,Australia,Canoe Slalom,Women's Canoe Single,1940205
Silver Medal,2,LILIK Elena,Female,Germany,Canoe Slalom,Women's Canoe Single,1913770
Bronze Medal,3,LEIBFARTH Evy,Female,United States,Canoe Slalom,Women's Canoe Single,1955132
Gold Medal,1,TORRES GIL Jose,Male,Argentina,Cycling BMX Freestyle,Men's Park,1916809
Silver Medal,2,REILLY Kieran Darren David,Male,Great Britain,Cycling BMX Freestyle,Men's Park,1912548
Bronze Medal,3,JEANJEAN Anthony,Male,France,Cycling BMX Freestyle,Men's Park,1895685
Gold Medal,1,DENG Yawen,Female,China,Cycling BMX Freestyle,Women's Park,1920569
Silver Medal,2,BENEGAS Perris,Female,United States,Cycling BMX Freestyle,Women's Park,1955071
Bronze Medal,3,DIEHM Natalya,Female,Australia,Cycling BMX Freestyle,Women's Park,1940118
Gold Medal,1,BEKAURI Lasha,Male,Georgia,Judo,Men -90 kg,1548817
Silver Medal,2,MURAO Sanshiro,Male,Japan,Judo,Men -90 kg,1896750
Bronze Medal,3,NGAYAP HAMBOU Maxime-Gael,Male,France,Judo,Men -90 kg,1891318
Bronze Medal,3,TSELIDIS Theodoros,Male,Greece,Judo,Men -90 kg,1961318
Gold Medal,1,MATIC Barbara,Female,Croatia,Judo,Women -70 kg,1898499
Silver Medal,2,BUTKEREIT Miriam,Female,Germany,Judo,Women -70 kg,1563082
Bronze Medal,3,POLLERES Michaela,Female,Austria,Judo,Women -70 kg,1566421
Bronze Medal,3,WILLEMS Gabriella,Female,Belgium,Judo,Women -70 kg,1903248
Gold Medal,1,RUANO OLIVA Adriana,Female,Guatemala,Shooting,Trap Women,1958899
Silver Medal,2,STANCO Silvana Maria,Female,Italy,Shooting,Trap Women,1915317
Bronze Medal,3,SMITH Penny,Female,Australia,Shooting,Trap Women,1967454
Gold Medal,1,PAN Zhanle,Male,China,Swimming,Men's 100m Freestyle,1945148
Silver Medal,2,CHALMERS Kyle,Male,Australia,Swimming,Men's 100m Freestyle,1946200
Bronze Medal,3,POPOVICI David,Male,Romania,Swimming,Men's 100m Freestyle,1543549
Gold Medal,1,MARCHAND Leon,Male,France,Swimming,Men's 200m Breaststroke,1909294
Silver Medal,2,STUBBLETY-COOK Zac,Male,Australia,Swimming,Men's 200m Breaststroke,1946185
Bronze Medal,3,CORBEAU Caspar,Male,Netherlands,Swimming,Men's 200m Breaststroke,1972545
Gold Medal,1,MARCHAND Leon,Male,France,Swimming,Men's 200m Butterfly,1909294
Silver Medal,2,MILAK Kristof,Male,Hungary,Swimming,Men's 200m Butterfly,1905860
Bronze Medal,3,KHARUN Ilya,Male,Canada,Swimming,Men's 200m Butterfly,1967058
Gold Medal,1,SJOESTROEM Sarah,Female,Sweden,Swimming,Women's 100m Freestyle,1572557
Silver Medal,2,HUSKE Torri,Female,United States,Swimming,Women's 100m Freestyle,1935923
Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China",Swimming,Women's 100m Freestyle,1925125
Gold Medal,1,LEDECKY Katie,Female,United States,Swimming,Women's 1500m Freestyle,1935938
Silver Medal,2,KIRPICHNIKOVA Anastasiia,Female,France,Swimming,Women's 1500m Freestyle,1909209
Bronze Medal,3,GOSE Isabel,Female,Germany,Swimming,Women's 1500m Freestyle,1907171
Gold Medal,1,YEE Alex,Male,Great Britain,Triathlon,Men's Individual,1904251
Silver Medal,2,WILDE Hayden,Male,New Zealand,Triathlon,Men's Individual,1926549
Bronze Medal,3,BERGERE Leo,Male,France,Triathlon,Men's Individual,1543967
Gold Medal,1,BEAUGRAND Cassandre,Female,France,Triathlon,Women's Individual,1543963
Silver Medal,2,DERRON Julie,Female,Switzerland,Triathlon,Women's Individual,1976489
Bronze Medal,3,POTTER Beth,Female,Great Britain,Triathlon,Women's Individual,1904244
Gold Medal,1,BILES Simone,Female,United States,Artistic Gymnastics,Women's All-Around,1959861
Silver Medal,2,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's All-Around,1953634
Bronze Medal,3,LEE Sunisa,Female,United States,Artistic Gymnastics,Women's All-Around,1959866
Gold Medal,1,PINTADO Brian Daniel,Male,Ecuador,Athletics,Men's 20km Race Walk,1929767
Silver Medal,2,BONFIM Caio,Male,Brazil,Athletics,Men's 20km Race Walk,1951928
Bronze Medal,3,MARTIN Alvaro,Male,Spain,Athletics,Men's 20km Race Walk,1904165
Gold Medal,1,YANG Jiayu,Female,China,Athletics,Women's 20km Race Walk,1919002
Silver Medal,2,PEREZ Maria,Female,Spain,Athletics,Women's 20km Race Walk,1905369
Bronze Medal,3,MONTAG Jemima,Female,Australia,Athletics,Women's 20km Race Walk,1939791
Gold Medal,1,de GENNARO Giovanni,Male,Italy,Canoe Slalom,Men's Kayak Single,1550975
Silver Medal,2,CASTRYCK Titouan,Male,France,Canoe Slalom,Men's Kayak Single,1880464
Bronze Medal,3,ECHANIZ Pau,Male,Spain,Canoe Slalom,Men's Kayak Single,1953935
Gold Medal,1,KOTSOIEV Zelym,Male,Azerbaijan,Judo,Men -100 kg,1972367
Silver Medal,2,SULAMANIDZE Ilia,Male,Georgia,Judo,Men -100 kg,1552370
Bronze Medal,3,PALTCHIK Peter,Male,Israel,Judo,Men -100 kg,1892957
Bronze Medal,3,TUROBOYEV Muzaffarbek,Male,Uzbekistan,Judo,Men -100 kg,1565754
Gold Medal,1,BELLANDI Alice,Female,Italy,Judo,Women -78 kg,1925349
Silver Medal,2,LANIR Inbar,Female,Israel,Judo,Women -78 kg,1892794
Bronze Medal,3,MA Zhenzhao,Female,China,Judo,Women -78 kg,1891067
Bronze Medal,3,SAMPAIO Patricia,Female,Portugal,Judo,Women -78 kg,1943504
Gold Medal,1,LIU Yukun,Male,China,Shooting,50m Rifle 3 Positions Men,1913922
Silver Medal,2,KULISH Serhiy,Male,Ukraine,Shooting,50m Rifle 3 Positions Men,1555976
Bronze Medal,3,KUSALE Swapnil,Male,India,Shooting,50m Rifle 3 Positions Men,1538084
Gold Medal,1,KOS Hubert,Male,Hungary,Swimming,Men's 200m Backstroke,1904977
Silver Medal,2,CHRISTOU Apostolos,Male,Greece,Swimming,Men's 200m Backstroke,1954557
Bronze Medal,3,MITYUKOV Roman,Male,Switzerland,Swimming,Men's 200m Backstroke,1977754
Gold Medal,1,DOUGLASS Kate,Female,United States,Swimming,Women's 200m Breaststroke,1935895
Silver Medal,2,SMITH Tatjana,Female,South Africa,Swimming,Women's 200m Breaststroke,1962589
Bronze Medal,3,SCHOUTEN Tes,Female,Netherlands,Swimming,Women's 200m Breaststroke,1972525
Gold Medal,1,McINTOSH Summer,Female,Canada,Swimming,Women's 200m Butterfly,1967140
Silver Medal,2,SMITH Regan,Female,United States,Swimming,Women's 200m Butterfly,1935984
Bronze Medal,3,ZHANG Yufei,Female,China,Swimming,Women's 200m Butterfly,1945125
Gold Medal,1,CHEPTEGEI Joshua,Male,Uganda,Athletics,"Men's 10,000m",1970827
Silver Medal,2,AREGAWI Berihu,Male,Ethiopia,Athletics,"Men's 10,000m",1536998
Bronze Medal,3,FISHER Grant,Male,United States,Athletics,"Men's 10,000m",1960959
Gold Medal,1,DAUDET Joris,Male,France,Cycling BMX Racing,Men,1895661
Silver Medal,2,ANDRE Sylvain,Male,France,Cycling BMX Racing,Men,1895640
Bronze Medal,3,MAHIEU Romain,Male,France,Cycling BMX Racing,Men,1895700
Gold Medal,1,SAKAKIBARA Saya,Female,Australia,Cycling BMX Racing,Women,1940127
Silver Medal,2,VEENSTRA Manon,Female,Netherlands,Cycling BMX Racing,Women,1969181
Bronze Medal,3,CLAESSENS Zoe,Female,Switzerland,Cycling BMX Racing,Women,1976480
Gold Medal,1,RINER Teddy,Male,France,Judo,Men +100 kg,1891323
Silver Medal,2,KIM Minjong,Male,Korea,Judo,Men +100 kg,1928072
Bronze Medal,3,RAKHIMOV Temur,Male,Tajikistan,Judo,Men +100 kg,1567512
Bronze Medal,3,YUSUPOV Alisher,Male,Uzbekistan,Judo,Men +100 kg,1566931
Gold Medal,1,SOUZA Beatriz,Female,Brazil,Judo,Women +78 kg,1953777
Silver Medal,2,HERSHKO Raz,Female,Israel,Judo,Women +78 kg,1892796
Bronze Medal,3,KIM Hayun,Female,Korea,Judo,Women +78 kg,1928070
Bronze Medal,3,DICKO Romane,Female,France,Judo,Women +78 kg,1891300
Gold Medal,1,LEONE Chiara,Female,Switzerland,Shooting,50m Rifle 3 Positions Women,1977709
Silver Medal,2,MADDALENA Sagen,Female,United States,Shooting,50m Rifle 3 Positions Women,1944373
Bronze Medal,3,ZHANG Qiongyue,Female,China,Shooting,50m Rifle 3 Positions Women,1913972
Gold Medal,1,MARCHAND Leon,Male,France,Swimming,Men's 200m Individual Medley,1909294
Silver Medal,2,SCOTT Duncan,Male,Great Britain,Swimming,Men's 200m Individual Medley,1903621
Bronze Medal,3,WANG Shun,Male,China,Swimming,Men's 200m Individual Medley,1945186
Gold Medal,1,McEVOY Cameron,Male,Australia,Swimming,Men's 50m Freestyle,1946161
Silver Medal,2,PROUD Benjamin,Male,Great Britain,Swimming,Men's 50m Freestyle,1903616
Bronze Medal,3,MANAUDOU Florent,Male,France,Swimming,Men's 50m Freestyle,1909292
Gold Medal,1,McKEOWN Kaylee,Female,Australia,Swimming,Women's 200m Backstroke,1946198
Silver Medal,2,SMITH Regan,Female,United States,Swimming,Women's 200m Backstroke,1935984
Bronze Medal,3,MASSE Kylie,Female,Canada,Swimming,Women's 200m Backstroke,1967104
Bronze Medal,3,SWIATEK Iga,Female,Poland,Tennis,Women's Singles,1931815
Gold Medal,1,LITVINOVICH Ivan,Male,Belarus,Trampoline Gymnastics,Men,1937347
Silver Medal,2,WANG Zisai,Male,China,Trampoline Gymnastics,Men,1918790
Bronze Medal,3,YAN Langyu,Male,China,Trampoline Gymnastics,Men,1918789
Gold Medal,1,PAGE Bryony,Female,Great Britain,Trampoline Gymnastics,Women,1904745
Silver Medal,2,BARDZILOUSKAYA Viyaleta,Female,Belarus,Trampoline Gymnastics,Women,1938437
Bronze Medal,3,METHOT Sophiane,Female,Canada,Trampoline Gymnastics,Women,1973102
Gold Medal,1,LIM Sihyeon,Female,Korea,Archery,Women's Individual,1902147
Silver Medal,2,NAM Suhyeon,Female,Korea,Archery,Women's Individual,1902148
Bronze Medal,3,BARBELIN Lisa,Female,France,Archery,Women's Individual,1541265
Gold Medal,1,YULO Carlos Edriel,Male,Philippines,Artistic Gymnastics,Men's Floor Exercise,1975874
Silver Medal,2,DOLGOPYAT Artem,Male,Israel,Artistic Gymnastics,Men's Floor Exercise,1908195
Bronze Medal,3,JARMAN Jake,Male,Great Britain,Artistic Gymnastics,Men's Floor Exercise,1904741
Gold Medal,1,Mc CLENAGHAN Rhys,Male,Ireland,Artistic Gymnastics,Men's Pommel Horse,1539986
Silver Medal,2,KURBANOV Nariman,Male,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse,1931577
Bronze Medal,3,NEDOROSCIK Stephen,Male,United States,Artistic Gymnastics,Men's Pommel Horse,1959865
Gold Medal,1,BILES Simone,Female,United States,Artistic Gymnastics,Women's Vault,1959861
Silver Medal,2,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's Vault,1953634
Bronze Medal,3,CAREY Jade,Female,United States,Artistic Gymnastics,Women's Vault,1959819
Gold Medal,1,ROOTH Markus,Male,Norway,Athletics,Men's Decathlon,1878353
Silver Medal,2,NEUGEBAUER Leo,Male,Germany,Athletics,Men's Decathlon,1920180
Bronze Medal,3,VICTOR Lindon,Male,Grenada,Athletics,Men's Decathlon,1573388
Gold Medal,1,CROUSER Ryan,Male,United States,Athletics,Men's Shot Put,1960688
Silver Medal,2,KOVACS Joe,Male,United States,Athletics,Men's Shot Put,1965246
Bronze Medal,3,CAMPBELL Rajindra,Male,Jamaica,Athletics,Men's Shot Put,1564189
Gold Medal,1,ALFRED Julien,Female,Saint Lucia,Athletics,Women's 100m,1537325
Silver Medal,2,RICHARDSON Sha'carri,Female,United States,Athletics,Women's 100m,1960181
Bronze Medal,3,JEFFERSON Melissa,Female,United States,Athletics,Women's 100m,1961011
Gold Medal,1,LAFOND Thea,Female,Dominica,Athletics,Women's Triple Jump,1908333
Silver Medal,2,RICKETTS Shanieka,Female,Jamaica,Athletics,Women's Triple Jump,1536885
Bronze Medal,3,MOORE Jasmine,Female,United States,Athletics,Women's Triple Jump,1965250
Bronze Medal,3,WU Shih Yi,Female,Chinese Taipei,Boxing,Women's 60kg,1887970
Bronze Medal,3,SOARES FERREIRA Beatriz Iasmin,Female,Brazil,Boxing,Women's 60kg,1952540
Gold Medal,1,EVENEPOEL Remco,Male,Belgium,Cycling Road,Men's Road Race,1903136
Silver Medal,2,MADOUAS Valentin,Male,France,Cycling Road,Men's Road Race,1895699
Bronze Medal,3,LAPORTE Christophe,Male,France,Cycling Road,Men's Road Race,1895694
Gold Medal,1,ZEIDLER Oliver,Male,Germany,Rowing,Men's Single Sculls,1906515
Silver Medal,2,ZALATY Yauheni,Male,Belarus,Rowing,Men's Single Sculls,1538160
Bronze Medal,3,van DORP Simon,Male,Netherlands,Rowing,Men's Single Sculls,1965599
Gold Medal,1,FLORIJN Karolien,Female,Netherlands,Rowing,Women's Single Sculls,1965558
Silver Medal,2,TWIGG Emma,Female,New Zealand,Rowing,Women's Single Sculls,1927027
Bronze Medal,3,SENKUTE Viktorija,Female,Lithuania,Rowing,Women's Single Sculls,1941956
Gold Medal,1,REUVENY Tom,Male,Israel,Sailing,Men's Windsurfing,1927680
Silver Medal,2,MORRIS Grae,Male,Australia,Sailing,Men's Windsurfing,1945982
Bronze Medal,3,van OPZEELAND Luuc,Male,Netherlands,Sailing,Men's Windsurfing,1970505
Gold Medal,1,MAGGETTI Marta,Female,Italy,Sailing,Women's Windsurfing,1899653
Silver Medal,2,KANTOR Sharon,Female,Israel,Sailing,Women's Windsurfing,1927733
Bronze Medal,3,WILSON Emma,Female,Great Britain,Sailing,Women's Windsurfing,1899748
Gold Medal,1,YANG Jiin,Female,Korea,Shooting,25m Pistol Women,1893995
Silver Medal,2,JEDRZEJEWSKI Camille,Female,France,Shooting,25m Pistol Women,1888429
Bronze Medal,3,MAJOR Veronika,Female,Hungary,Shooting,25m Pistol Women,1899493
Gold Medal,1,HANCOCK Vincent,Male,United States,Shooting,Skeet Men,1944354
Silver Medal,2,PRINCE Conner Lynn,Male,United States,Shooting,Skeet Men,1944385
Bronze Medal,3,LEE Meng Yuan,Male,Chinese Taipei,Shooting,Skeet Men,1569852
Gold Medal,1,MILAK Kristof,Male,Hungary,Swimming,Men's 100m Butterfly,1905860
Silver Medal,2,LIENDO Josh,Male,Canada,Swimming,Men's 100m Butterfly,1967069
Bronze Medal,3,KHARUN Ilya,Male,Canada,Swimming,Men's 100m Butterfly,1967058
Gold Medal,1,McINTOSH Summer,Female,Canada,Swimming,Women's 200m Individual Medley,1967140
Silver Medal,2,DOUGLASS Kate,Female,United States,Swimming,Women's 200m Individual Medley,1935895
Bronze Medal,3,McKEOWN Kaylee,Female,Australia,Swimming,Women's 200m Individual Medley,1946198
Gold Medal,1,LEDECKY Katie,Female,United States,Swimming,Women's 800m Freestyle,1935938
Silver Medal,2,TITMUS Ariarne,Female,Australia,Swimming,Women's 800m Freestyle,1946150
Bronze Medal,3,MADDEN Paige,Female,United States,Swimming,Women's 800m Freestyle,1935943
Gold Medal,1,CHEN Meng,Female,China,Table Tennis,Women's Singles,1902307
